Name|Ed.|Type|R|Mana cost|CMC|P|T|L|Ability
45366|Orcish Artillery|8E|Creature - Orc Warrior|U|1RR|3|1|3||T: Orcish Artillery deals 2 damage to target creature or player and 3 damage to you.
45351|Orcish Spy|8E|Creature - Orc Rogue|C|R|1|1|1||T: Look at the top three cards of target player's library.
45186|Pacifism|8E|Enchantment - Aura|C|1W|2||||Enchant creature  Enchanted creature can't attack or block.
45359|Panic Attack|8E|Sorcery|C|2R|3||||Up to three target creatures can't block this turn.
45465|Patagia Golem|8E|Artifact Creature - Golem|U|4|4|2|3||3: Patagia Golem gains flying until end of turn.
45201|Peach Garden Oath|8E|Sorcery|U|W|1||||You gain 2 life for each creature you control.
45337|Persecute|8E|Sorcery|R|2BB|4||||Choose a color. Target player reveals his or her hand and discards all cards of that color.
45250|Phantom Warrior|8E|Creature - Illusion Warrior|U|1UU|3|2|2||Phantom Warrior can't be blocked.
45339|Phyrexian Arena|8E|Enchantment|R|1BB|3||||At the beginning of your upkeep, you draw a card and you lose 1 life.
45490|Phyrexian Colossus|8E|Artifact Creature - Golem|R|7|7|8|8||Phyrexian Colossus doesn't untap during your untap step.  Pay 8 life: Untap Phyrexian Colossus.  Phyrexian Colossus can't be blocked except by three or more creatures.
45471|Phyrexian Hulk|8E|Artifact Creature - Golem|U|6|6|5|4||
45327|Phyrexian Plaguelord|8E|Creature - Carrier|R|3BB|5|4|4||T, Sacrifice Phyrexian Plaguelord: Target creature gets -4/-4 until end of turn.  Sacrifice a creature: Target creature gets -1/-1 until end of turn.
45291|Plague Beetle|8E|Creature - Insect|C|B|1|1|1||Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
45340|Plague Wind|8E|Sorcery|R|7BB|9||||Destroy all creatures you don't control. They can't be regenerated.
46438|Plains|8E|Basic Land - Plains|C||0||||W
45486|Planar Portal|8E|Artifact|R|6|6||||6, T: Search your library for a card and put that card into your hand. Then shuffle your library.
45450|Plow Under|8E|Sorcery|R|3GG|5||||Put two target lands on top of their owners' libraries.
45453|Primeval Force|8E|Creature - Elemental|R|2GGG|5|8|8||When Primeval Force enters the battlefield, sacrifice it unless you sacrifice three Forests.
45312|Primeval Shambler|8E|Creature - Horror Mercenary|U|4B|5|3|3||B: Primeval Shambler gets +1/+1 until end of turn.
45249|Puppeteer|8E|Creature - Human Wizard|U|2U|3|1|2||U, T: You may tap or untap target creature.
45374|Pyroclasm|8E|Sorcery|U|1R|2||||Pyroclasm deals 2 damage to each creature.
45378|Pyrotechnics|8E|Sorcery|U|4R|5||||Pyrotechnics deals 4 damage divided as you choose among any number of target creatures and/or players.
45342|Raging Goblin|8E|Creature - Goblin Berserker|C|R|1|1|1||Haste (This creature can attack and T as soon as it comes under your control.)
45198|Rain of Blades|8E|Instant|U|W|1||||Rain of Blades deals 1 damage to each attacking creature.
45295|Raise Dead|8E|Sorcery|C|B|1||||Return target creature card from your graveyard to your hand.
45417|Rampant Growth|8E|Sorcery|C|1G|2||||Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.
45286|Ravenous Rats|8E|Creature - Rat|C|1B|2|1|1||When Ravenous Rats enters the battlefield, target opponent discards a card.
45178|Razorfoot Griffin|8E|Creature - Griffin|C|3W|4|2|2||Flying (This creature can't be blocked except by creatures with flying or reach.)  First strike (This creature deals combat damage before creatures without first strike.)
45184|Redeem|8E|Instant|C|1W|2||||Prevent all damage that would be dealt this turn to up to two target creatures.
45354|Reflexes|8E|Enchantment - Aura|C|R|1||||Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)  Enchanted creature has first strike. (It deals combat damage before creatures without first strike.)
45418|Regeneration|8E|Enchantment - Aura|C|1G|2||||Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)  G: Regenerate enchanted creature. (The next time that creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)
45393|Relentless Assault|8E|Sorcery|R|2RR|4||||Untap all creatures that attacked this turn. After this main phase, there is an additional combat phase followed by an additional main phase.
45241|Remove Soul|8E|Instant|C|1U|2||||Counter target creature spell.
45433|Revive|8E|Sorcery|U|1G|2||||Return target green card from your graveyard to your hand.
45264|Rewind|8E|Instant|U|2UU|4||||Counter target spell. Untap up to four lands.
49038|Rhox|8E|Creature - Rhino Beast|R|4GG|6|5|5||You may have Rhox assign its combat damage as though it weren't blocked.  2G: Regenerate Rhox. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)
45346|Ridgeline Rager|8E|Creature - Beast|C|2R|3|1|2||R: Ridgeline Rager gets +1/+0 until end of turn.
45466|Rod of Ruin|8E|Artifact|U|4|4||||3, T: Rod of Ruin deals 1 damage to target creature or player.
45217|Rolling Stones|8E|Enchantment|R|1W|2||||Wall creatures can attack as though they didn't have defender.
45323|Royal Assassin|8E|Creature - Human Assassin|R|1BB|3|1|1||T: Destroy target tapped creature.
45390|Rukh Egg|8E|Creature - Bird|R|3R|4|0|3||When Rukh Egg dies, create a 4/4 red Bird creature token with flying at the beginning of the next end step.
45403|Rushwood Dryad|8E|Creature - Dryad|C|1G|2|2|1||Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)
45347|Sabretooth Tiger|8E|Creature - Cat|C|2R|3|2|1||First strike
45215|Sacred Ground|8E|Enchantment|R|1W|2||||Whenever a spell or ability an opponent controls causes a land to be put into your graveyard from the battlefield, return that card to the battlefield.
45187|Sacred Nectar|8E|Sorcery|C|1W|2||||You gain 4 life.
45269|Sage of Lat-Nam|8E|Creature - Human Artificer|R|1U|2|1|2||T, Sacrifice an artifact: Draw a card.
45226|Sage Owl|8E|Creature - Bird|C|1U|2|1|1||Flying  When Sage Owl enters the battlefield, look at the top four cards of your library, then put them back in any order.
45492|Salt Marsh|8E|Land|U||0||||Salt Marsh enters the battlefield tapped.  T: Add U or B to your mana pool.
45170|Samite Healer|8E|Creature - Human Cleric|C|1W|2|1|1||T: Prevent the next 1 damage that would be dealt to target creature or player this turn.
45197|Sanctimony|8E|Enchantment|U|1W|2||||Whenever an opponent taps a Mountain for mana, you may gain 1 life.
45207|Savannah Lions|8E|Creature - Cat|R|W|1|2|1||
45294|Scathe Zombies|8E|Creature - Zombie|C|2B|3|2|2||
45234|Sea Monster|8E|Creature - Serpent|C|4UU|6|6|6||Sea Monster can't attack unless defending player controls an Island.
45397|Searing Wind|8E|Instant|R|8R|9||||Searing Wind deals 10 damage to target creature or player.
45193|Seasoned Marshal|8E|Creature - Human Soldier|U|2WW|4|2|2||Whenever Seasoned Marshal attacks, you may tap target creature.
45392|Seismic Assault|8E|Enchantment|R|RRR|3||||Discard a land card: Seismic Assault deals 2 damage to target creature or player.
45303|Serpent Warrior|8E|Creature - Snake Warrior|C|2B|3|3|3||When Serpent Warrior enters the battlefield, you lose 3 life.
45212|Serra Angel|8E|Creature - Angel|R|3WW|5|4|4||Flying (This creature can't be blocked except by creatures with flying or reach.)  Vigilance (Attacking doesn't cause this creature to tap.)
45317|Sever Soul|8E|Sorcery|U|3BB|5||||Destroy target nonblack creature. It can't be regenerated. You gain life equal to its toughness.
45290|Severed Legion|8E|Creature - Zombie|C|1BB|3|2|2||Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
45355|Shatter|8E|Instant|C|1R|2||||Destroy target artifact.
45257|Shifting Sky|8E|Enchantment|R|2U|3||||As Shifting Sky enters the battlefield, choose a color.  All nonland permanents are the chosen color.
45388|Shivan Dragon|8E|Creature - Dragon|R|4RR|6|5|5||Flying (This creature can't be blocked except by creatures with flying or reach.)  R: Shivan Dragon gets +1/+0 until end of turn.
45494|Shivan Oasis|8E|Land|U||0||||Shivan Oasis enters the battlefield tapped.  T: Add R or G to your mana pool.
45352|Shock|8E|Instant|C|R|1||||Shock deals 2 damage to target creature or player.
45350|Shock Troops|8E|Creature - Human Soldier|C|3R|4|2|2||Sacrifice Shock Troops: Shock Troops deals 2 damage to target creature or player.
45358|Sizzle|8E|Sorcery|C|2R|3||||Sizzle deals 3 damage to each opponent.
45477|Skull of Orm|8E|Artifact|R|3|3||||5, T: Return target enchantment card from your graveyard to your hand.
45314|Slay|8E|Instant|U|2B|3||||Destroy target green creature. It can't be regenerated.  Draw a card.
45228|Sneaky Homunculus|8E|Creature - Homunculus Illusion|C|1U|2|1|1||Sneaky Homunculus can't block or be blocked by creatures with power 2 or greater.
45188|Solidarity|8E|Instant|C|3W|4||||Creatures you control get +0/+5 until end of turn.
45321|Soul Feast|8E|Sorcery|U|3BB|5||||Target player loses 4 life and you gain 4 life.
45457|Spellbook|8E|Artifact|U|0|0||||You have no maximum hand size.
45232|Spiketail Hatchling|8E|Creature - Drake|U|1U|2|1|1||Flying (This creature can't be blocked except by creatures with flying or reach.)  Sacrifice Spiketail Hatchling: Counter target spell unless its controller pays 1.
45410|Spined Wurm|8E|Creature - Wurm|C|4G|5|5|4||
45287|Spineless Thug|8E|Creature - Zombie Mercenary|C|1B|2|2|2||Spineless Thug can't block.
45183|Spirit Link|8E|Enchantment - Aura|U|W|1||||Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)  Whenever enchanted creature deals damage, you gain that much life.
45427|Spitting Spider|8E|Creature - Spider|U|3GG|5|3|5||Reach (This creature can block creatures with flying.)  Sacrifice a land: Spitting Spider deals 1 damage to each creature with flying.
45432|Spreading Algae|8E|Enchantment - Aura|U|G|1||||Enchant Swamp  When enchanted land becomes tapped, destroy it.  When Spreading Algae is put into a graveyard from the battlefield, return Spreading Algae to its owner's hand.
45174|Standing Troops|8E|Creature - Human Soldier|C|2W|3|1|4||Vigilance
45463|Star Compass|8E|Artifact|U|2|2||||Star Compass enters the battlefield tapped.  T: Add to your mana pool one mana of any color that a basic land you control could produce.
45196|Staunch Defenders|8E|Creature - Human Soldier|U|3WW|5|3|4||When Staunch Defenders enters the battlefield, you gain 4 life.
45263|Steal Artifact|8E|Enchantment - Aura|U|2UU|4||||Enchant artifact  You control enchanted artifact.
45360|Stone Rain|8E|Sorcery|C|2R|3||||Destroy target land.
45227|Storm Crow|8E|Creature - Bird|C|1U|2|1|2||Flying (This creature can't be blocked except by creatures with flying or reach.)
45220|Story Circle|8E|Enchantment|R|1WW|3||||As Story Circle enters the battlefield, choose a color.  W: The next time a source of your choice of the chosen color would deal damage to you this turn, prevent that damage.
45419|Stream of Life|8E|Sorcery|U|XG|1||||Target player gains X life.
45380|Sudden Impact|8E|Instant|U|3R|4||||Sudden Impact deals damage to target player equal to the number of cards in that player's hand.
45189|Suntail Hawk|8E|Creature - Bird|C|W|1|1|1||Flying
45209|Sunweb|8E|Creature - Wall|R|3W|4|5|6||Defender (This creature can't attack.)  Flying  Sunweb can't block creatures with power 2 or less.
46446|Swamp|8E|Basic Land - Swamp|C||0||||B
45305|Swarm of Rats|8E|Creature - Rat|U|1B|2|*|1||Swarm of Rats's power is equal to the number of Rats you control.
45190|Sword Dancer|8E|Creature - Human Rebel|U|1W|2|1|2||WW: Target attacking creature gets -1/-0 until end of turn.
45483|Teferi's Puzzle Box|8E|Artifact|R|4|4||||At the beginning of each player's draw step, that player puts the cards in his or her hand on the bottom of his or her library in any order, then draws that many cards.
45256|Telepathy|8E|Enchantment|U|U|1||||Your opponents play with their hands revealed.
45266|Temporal Adept|8E|Creature - Human Wizard|R|1UU|3|1|1||UUU, T: Return target permanent to its owner's hand.
45395|Thieves' Auction|8E|Sorcery|R|4RRR|7||||Exile all nontoken permanents. Starting with you, each player chooses one of the exiled cards and puts it onto the battlefield tapped under his or her control. Repeat this process until all cards exiled this way have been chosen.
45252|Thieving Magpie|8E|Creature - Bird|U|2UU|4|1|3||Flying (This creature can't be blocked except by creatures with flying or reach.)  Whenever Thieving Magpie deals damage to an opponent, draw a card.
45448|Thorn Elemental|8E|Creature - Elemental|R|5GG|7|7|7||You may have Thorn Elemental assign its combat damage as though it weren't blocked.
45460|Throne of Bone|8E|Artifact|U|1|1||||Whenever a player casts a black spell, you may pay 1. If you do, you gain 1 life.
45271|Tidal Kraken|8E|Creature - Kraken|R|5UUU|8|6|6||Tidal Kraken can't be blocked.
45272|Trade Routes|8E|Enchantment|R|1U|2||||1: Return target land you control to its owner's hand.  1, Discard a land card: Draw a card.
45406|Trained Armodon|8E|Creature - Elephant|C|1GG|3|3|3||
45260|Treasure Trove|8E|Enchantment|U|2UU|4||||2UU: Draw a card.
45377|Tremor|8E|Sorcery|C|R|1||||Tremor deals 1 damage to each creature without flying.
45167|Tundra Wolves|8E|Creature - Wolf|C|W|1|1|1||First strike (This creature deals combat damage before creatures without first strike.)
45235|Twiddle|8E|Instant|C|U|1||||You may tap or untap target artifact, creature, or land.
45389|Two-Headed Dragon|8E|Creature - Dragon|R|4RR|6|4|4||Flying  Menace (This creature can't be blocked except by two or more creatures.)  Two-Headed Dragon can block an additional creature each combat.  1R: Two-Headed Dragon gets +2/+0 until end of turn.
45334|Underworld Dreams|8E|Enchantment|R|BBB|3||||Whenever an opponent draws a card, Underworld Dreams deals 1 damage to him or her.
45296|Unholy Strength|8E|Enchantment - Aura|C|B|1||||Enchant creature  Enchanted creature gets +2/+1.
45239|Unsummon|8E|Instant|C|U|1||||Return target creature to its owner's hand.
45493|Urborg Volcano|8E|Land|U||0||||Urborg Volcano enters the battlefield tapped.  T: Add B or R to your mana pool.
45484|Urza's Armor|8E|Artifact|R|6|6||||If a source would deal damage to you, prevent 1 of that damage.
45464|Urza's Mine|8E|Land - Urza-s Mine|U||0||||T: Add C to your mana pool. If you control an Urza's Power-Plant and an Urza's Tower, add CC to your mana pool instead.
45470|Urza's Power Plant|8E|Land - Urza-s Power-Plant|U||0||||T: Add C to your mana pool. If you control an Urza's Mine and an Urza's Tower, add CC to your mana pool instead.
45468|Urza's Tower|8E|Land - Urza-s Tower|U||0||||T: Add C to your mana pool. If you control an Urza's Mine and an Urza's Power-Plant, add CCC to your mana pool instead.
45328|Vampiric Spirit|8E|Creature - Spirit|R|2BB|4|4|3||Flying  When Vampiric Spirit enters the battlefield, you lose 4 life.
